,Rk,Team,G,MP,FG,FGA,FG_PCT,3P,3PA,3P_PCT,2P,2PA,2P_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,12,Los Angeles Lakers,82,19830,3144,6875,0.457,532,1562,0.341,2612,5313,0.492,1519,1985,0.765,973,2662,3635,1730,612,400,1096,1592,8339
2009-10,13,Atlanta Hawks,82,19855,3181,6801,0.468,524,1455,0.36,2657,5346,0.497,1452,1914,0.759,969,2451,3420,1789,592,413,980,1632,8338
2009-10,14,Oklahoma City Thunder,82,19805,3063,6629,0.462,418,1229,0.34,2645,5400,0.49,1778,2210,0.805,960,2607,3567,1639,654,481,1227,1743,8322
2009-10,15,San Antonio Spurs,82,19780,3150,6659,0.473,554,1547,0.358,2596,5112,0.508,1458,1969,0.74,887,2621,3508,1829,516,381,1116,1669,8312
2009-10,16,Indiana Pacers,82,19705,3020,6823,0.443,659,1896,0.348,2361,4927,0.479,1564,2019,0.775,785,2618,3403,1730,585,439,1232,1848,8263
2009-10,17,New Orleans Hornets,82,19830,3178,6842,0.464,571,1572,0.363,2607,5270,0.495,1293,1661,0.778,852,2450,3302,1828,625,300,1103,1606,8220
2009-10,18,Sacramento Kings,82,19880,3144,6895,0.456,482,1383,0.349,2662,5512,0.483,1430,1969,0.726,977,2518,3495,1679,564,366,1226,1827,8200
2009-10,19,Boston Celtics,82,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816,8136
2009-10,20,Minnesota Timberwolves,82,19780,3106,6923,0.449,403,1181,0.341,2703,5742,0.471,1436,1926,0.746,962,2556,3518,1626,597,306,1333,1699,8051
2009-10,21,Portland Trail Blazers,82,19855,2974,6453,0.461,491,1388,0.354,2483,5065,0.49,1606,2033,0.79,913,2383,3296,1674,523,350,1012,1715,8045
2009-10,22,Philadelphia 76ers,82,19805,3087,6706,0.46,474,1381,0.343,2613,5325,0.491,1366,1808,0.756,941,2421,3362,1723,667,439,1192,1677,8014
2009-10,23,Milwaukee Bucks,82,19980,3050,6998,0.436,645,1813,0.356,2405,5185,0.464,1264,1675,0.755,965,2560,3525,1740,580,385,1085,1823,8009
2009-10,24,Chicago Bulls,82,19905,3081,6825,0.451,352,1066,0.33,2729,5759,0.474,1479,1962,0.754,937,2715,3652,1704,531,478,1175,1648,7993
2009-10,25,Miami Heat,82,19880,2984,6518,0.458,494,1426,0.346,2490,5092,0.489,1452,1931,0.752,875,2553,3428,1548,605,457,1079,1710,7914
2009-10,26,Washington Wizards,82,19830,3008,6700,0.449,432,1225,0.353,2576,5475,0.471,1444,1895,0.762,966,2458,3424,1557,493,421,1219,1752,7892
2009-10,27,Los Angeles Clippers,82,19705,3002,6601,0.455,483,1457,0.332,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849
2009-10,28,Charlotte Bobcats,82,19880,2858,6306,0.453,460,1331,0.346,2398,4975,0.482,1637,2180,0.751,858,2490,3348,1658,632,446,1290,1597,7813
2009-10,29,Detroit Pistons,82,19780,2940,6602,0.445,374,1190,0.314,2566,5412,0.474,1455,1998,0.728,1053,2242,3295,1591,596,313,1100,1822,7709
2009-10,30,New Jersey Nets,82,19780,2813,6554,0.429,377,1185,0.318,2436,5369,0.454,1572,2015,0.78,897,2358,3255,1540,573,393,1182,1643,7575
2004-05,1,Phoenix Suns,82,19780,3351,7018,0.477,796,2026,0.393,2555,4992,0.512,1556,2080,0.748,967,2652,3619,1927,572,453,1125,1563,9054
2004-05,2,Sacramento Kings,82,19855,3203,6978,0.459,522,1396,0.374,2681,5582,0.48,1577,2004,0.787,1023,2455,3478,2005,674,316,1073,1685,8505
2004-05,3,Dallas Mavericks,82,19730,3058,6691,0.457,463,1273,0.364,2595,5418,0.479,1826,2314,0.789,990,2530,3520,1610,708,461,1102,1827,8405
2004-05,4,Miami Heat,82,19980,3097,6368,0.486,475,1260,0.377,2622,5108,0.513,1658,2466,0.672,887,2639,3526,1790,528,474,1127,1814,8327
2004-05,5,Boston Celtics,82,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304
2004-05,6,Washington Wizards,82,19780,2966,6794,0.437,514,1498,0.343,2452,5296,0.463,1795,2476,0.725,1133,2374,3507,1563,716,347,1172,1807,8241
2004-05,7,Toronto Raptors,82,19805,2952,6656,0.444,648,1681,0.385,2304,4975,0.463,1626,2101,0.774,844,2444,3288,1670,621,317,1087,1876,8178
2004-05,8,Denver Nuggets,82,19755,3038,6615,0.459,320,940,0.34,2718,5675,0.479,1765,2313,0.763,967,2473,3440,1958,750,489,1224,1878,8161
2004-05,9,Orlando Magic,82,19705,3034,6679,0.454,320,916,0.349,2714,5763,0.471,1772,2335,0.759,1038,2544,3582,1583,633,441,1322,1937,8160
2004-05,10,Philadelphia 76ers,82,19855,2946,6736,0.437,505,1453,0.348,2441,5283,0.462,1731,2194,0.789,909,2536,3445,1710,756,321,1274,1878,8128
2004-05,11,Seattle SuperSonics,82,19755,2882,6498,0.444,666,1824,0.365,2216,4674,0.474,1683,2131,0.79,1041,2311,3352,1487,553,338,1113,1944,8113
2004-05,12,Los Angeles Lakers,82,19780,2895,6629,0.437,644,1813,0.355,2251,4816,0.467,1661,2137,0.777,1028,2511,3539,1672,508,344,1176,1794,8095
2004-05,13,Golden State Warriors,82,19905,3029,7039,0.43,624,1774,0.352,2405,5265,0.457,1412,1955,0.722,1069,2436,3505,1811,642,420,1112,1833,8094
2004-05,14,New York Knicks,82,19880,2978,6599,0.451,441,1240,0.356,2537,5359,0.473,1580,2060,0.767,965,2393,3358,1665,629,260,1204,1942,7977
2004-05,15,Milwaukee Bucks,82,19780,2964,6580,0.45,325,925,0.351,2639,5655,0.467,1720,2229,0.772,985,2405,3390,1720,529,289,1132,1797,7973
2004-05,16,Minnesota Timberwolves,82,19755,3045,6629,0.459,395,1145,0.345,2650,5484,0.483,1449,1820,0.796,947,2580,3527,1918,460,447,1079,1774,7934
2004-05,17,Cleveland Cavaliers,82,19855,2990,6687,0.447,300,904,0.332,2690,5783,0.465,1634,2174,0.752,1117,2352,3469,1851,654,461,1141,1850,7914
2004-05,18,San Antonio Spurs,82,19805,2923,6450,0.453,507,1395,0.363,2416,5055,0.478,1535,2120,0.724,987,2489,3476,1771,613,543,1126,1717,7888
2004-05,19,Los Angeles Clippers,82,20030,2924,6368,0.459,231,669,0.345,2693,5699,0.473,1770,2274,0.778,980,2455,3435,1901,599,422,1290,1819,7849
2004-05,20,Houston Rockets,82,19855,2846,6419,0.443,553,1521,0.364,2293,4898,0.468,1551,1986,0.781,874,2601,3475,1733,563,378,1135,1807,7796
2004-05,21,Chicago Bulls,82,19830,2849,6592,0.432,511,1433,0.357,2338,5159,0.453,1536,2048,0.75,1001,2591,3592,1743,576,369,1371,2028,7745
2004-05,22,Charlotte Bobcats,82,19880,2961,6859,0.432,320,881,0.363,2641,5978,0.442,1487,2096,0.709,1083,2335,3418,1794,695,440,1192,1894,7729
2004-05,23,Memphis Grizzlies,82,19705,2802,6271,0.447,531,1486,0.357,2271,4785,0.475,1526,2024,0.754,887,2307,3194,1716,699,476,1197,1910,7661
2004-05,24,Detroit Pistons,82,19955,2851,6421,0.444,363,1053,0.345,2488,5368,0.463,1588,2150,0.739,1054,2507,3561,1787,576,497,1133,1638,7653
2004-05,25,Indiana Pacers,82,19905,2668,6169,0.432,542,1575,0.344,2126,4594,0.463,1748,2206,0.792,868,2418,3286,1489,615,357,1173,1890,7626
2004-05,26,Utah Jazz,82,19780,2828,6301,0.449,250,762,0.328,2578,5539,0.465,1719,2272,0.757,1047,2243,3290,1826,541,374,1292,2189,7625
2004-05,27,Portland Trail Blazers,82,19730,2896,6422,0.451,420,1161,0.362,2476,5261,0.471,1409,1944,0.725,970,2404,3374,1722,583,544,1308,1703,7621
2004-05,28,Atlanta Hawks,82,19855,2942,6672,0.441,304,973,0.312,2638,5699,0.463,1417,1994,0.711,1100,2335,3435,1614,629,344,1319,2009,7605
2004-05,29,New Jersey Nets,82,19905,2753,6419,0.429,435,1203,0.362,2318,5216,0.444,1555,2039,0.763,855,2387,3242,1772,650,308,1164,1985,7496
2004-05,30,New Orleans Hornets,82,19930,2718,6556,0.415,415,1316,0.315,2303,5240,0.44,1401,1830,0.766,1019,2281,3300,1724,550,310,1217,1883,7252
1999-00,1,Sacramento Kings,82,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607
1999-00,2,Detroit Pistons,82,19830,3044,6635,0.459,439,1223,0.359,2605,5412,0.481,1956,2506,0.781,917,2458,3375,1707,665,273,1288,2011,8483
1999-00,3,Dallas Mavericks,82,19730,3195,7047,0.453,519,1326,0.391,2676,5721,0.468,1407,1751,0.804,931,2444,3375,1810,592,416,1124,1770,8316
1999-00,4,Indiana Pacers,82,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306
1999-00,5,Milwaukee Bucks,82,19855,3174,6827,0.465,394,1069,0.369,2780,5758,0.483,1558,1982,0.786,1016,2373,3389,1852,671,381,1230,2020,8300
1999-00,6,Los Angeles Lakers,82,19805,3137,6836,0.459,344,1047,0.329,2793,5789,0.482,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267
1999-00,7,Orlando Magic,82,19755,3169,7014,0.452,294,870,0.338,2875,6144,0.468,1574,2142,0.735,1145,2540,3685,1709,743,467,1443,1967,8206
1999-00,8,Houston Rockets,82,19830,3001,6664,0.45,581,1625,0.358,2420,5039,0.48,1573,2145,0.733,1008,2586,3594,1774,613,438,1425,1663,8156
1999-00,9,Boston Celtics,82,19730,3054,6880,0.444,417,1260,0.331,2637,5620,0.469,1621,2175,0.745,1108,2420,3528,1741,795,286,1259,2223,8146
1999-00,10,Seattle SuperSonics,82,19780,3108,6946,0.447,546,1611,0.339,2562,5335,0.48,1363,1960,0.695,1042,2483,3525,1878,657,345,1152,1776,8125
1999-00,11,Denver Nuggets,82,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,554,618,1281,1962,8115
1999-00,12,Phoenix Suns,82,19805,3093,6771,0.457,458,1246,0.368,2635,5525,0.477,1467,1934,0.759,1022,2558,3580,2098,744,433,1368,1973,8111
1999-00,13,Minnesota Timberwolves,82,19905,3226,6910,0.467,248,716,0.346,2978,6194,0.481,1379,1769,0.78,1016,2471,3487,2205,622,444,1139,1913,8079
1999-00,14,Charlotte Hornets,82,19780,2935,6533,0.449,339,1001,0.339,2596,5532,0.469,1863,2458,0.758,884,2635,3519,2023,732,480,1206,1670,8072
1999-00,15,New Jersey Nets,82,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,720,393,1119,1913,8036
1999-00,16,Portland Trail Blazers,82,19780,3021,6430,0.47,407,1128,0.361,2614,5302,0.493,1542,2029,0.76,966,2560,3526,1925,633,396,1243,1865,7991
1999-00,17,Toronto Raptors,82,19755,2980,6882,0.433,425,1171,0.363,2555,5711,0.447,1583,2068,0.765,1098,2449,3547,1947,666,544,1137,1989,7968
1999-00,18,Cleveland Cavaliers,82,19855,2977,6734,0.442,343,919,0.373,2634,5815,0.453,1653,2205,0.75,1010,2499,3509,1941,715,363,1427,2219,7950
1999-00,19,Washington Wizards,82,19805,3010,6681,0.451,335,890,0.376,2675,5791,0.462,1566,2107,0.743,1064,2438,3502,1771,593,383,1320,2149,7921
1999-00,20,Utah Jazz,82,19755,2962,6380,0.464,329,854,0.385,2633,5526,0.476,1661,2150,0.773,936,2426,3362,2041,629,446,1220,2013,7914
1999-00,21,San Antonio Spurs,82,19855,2952,6393,0.462,330,882,0.374,2622,5511,0.476,1652,2214,0.746,927,2666,3593,1819,614,551,1233,1716,7886
1999-00,22,Golden State Warriors,82,19755,2996,7140,0.42,345,1069,0.323,2651,6071,0.437,1497,2147,0.697,1300,2438,3738,1851,731,356,1302,2043,7834
1999-00,23,Philadelphia 76ers,82,19830,2993,6776,0.442,208,643,0.323,2785,6133,0.454,1577,2226,0.708,1147,2468,3615,1817,791,386,1284,1939,7771
1999-00,24,Miami Heat,82,19830,2974,6462,0.46,446,1202,0.371,2528,5260,0.481,1345,1827,0.736,921,2619,3540,1931,582,524,1231,1947,7739
1999-00,25,Atlanta Hawks,82,19830,3000,6807,0.441,258,814,0.317,2742,5993,0.458,1477,1987,0.743,1146,2570,3716,1548,500,461,1266,1718,7735
1999-00,26,Vancouver Grizzlies,82,19855,2892,6441,0.449,324,898,0.361,2568,5543,0.463,1594,2060,0.774,1005,2324,3329,1700,608,346,1381,1881,7702
1999-00,27,New York Knicks,82,19830,2897,6374,0.455,351,937,0.375,2546,5437,0.468,1410,1805,0.781,802,2521,3323,1588,515,349,1201,1983,7555
1999-00,28,Los Angeles Clippers,82,19705,2877,6757,0.426,429,1267,0.339,2448,5490,0.446,1363,1826,0.746,955,2377,3332,1479,578,494,1325,1821,7546
1999-00,29,Chicago Bulls,82,19805,2565,6180,0.415,340,1032,0.329,2225,5148,0.432,1482,2089,0.709,1032,2323,3355,1645,646,383,1557,1908,6952
1994-95,1,Orlando Magic,82,19930,3460,6899,0.502,523,1412,0.37,2937,5487,0.535,1648,2465,0.669,1149,2457,3606,2281,672,488,1297,1726,9091
1994-95,2,Phoenix Suns,82,19830,3356,6967,0.482,584,1584,0.369,2772,5383,0.515,1777,2352,0.756,1027,2403,3430,2198,687,312,1167,1839,9073
1994-95,3,Seattle SuperSonics,82,19830,3310,6741,0.491,491,1305,0.376,2819,5436,0.519,1944,2564,0.758,1068,2337,3405,2115,917,392,1295,2067,9055
1994-95,4,San Antonio Spurs,82,19855,3236,6687,0.484,434,1158,0.375,2802,5529,0.507,1836,2487,0.738,1029,2661,3690,1919,656,456,1246,1871,8742
1994-95,5,Utah Jazz,82,19780,3243,6339,0.512,301,801,0.376,2942,5538,0.531,1939,2483,0.781,874,2412,3286,2256,758,392,1289,2045,8726
1994-95,6,Golden State Warriors,82,19905,3217,6873,0.468,546,1602,0.341,2671,5271,0.507,1687,2395,0.704,1101,2371,3472,2017,649,391,1497,1804,8667
1994-95,7,Los Angeles Lakers,82,19905,3284,7088,0.463,525,1492,0.352,2759,5596,0.493,1523,2072,0.735,1126,2316,3442,2078,750,563,1243,1933,8616
1994-95,8,Houston Rockets,82,19730,3159,6579,0.48,646,1757,0.368,2513,4822,0.521,1527,2039,0.749,880,2440,3320,2060,721,514,1322,1714,8491
1994-95,9,Dallas Mavericks,82,19930,3227,7342,0.44,386,1200,0.322,2841,6142,0.463,1622,2210,0.734,1514,2433,3947,1941,579,348,1345,1811,8462
1994-95,10,Portland Trail Blazers,82,19705,3217,7134,0.451,462,1266,0.365,2755,5868,0.469,1555,2230,0.697,1352,2443,3795,1846,668,467,1212,2024,8451
1994-95,11,Boston Celtics,82,19805,3179,6847,0.464,362,984,0.368,2817,5863,0.48,1708,2268,0.753,1156,2320,3476,1783,612,361,1305,1975,8428
1994-95,12,Chicago Bulls,82,19830,3191,6710,0.476,443,1187,0.373,2748,5523,0.498,1500,2065,0.726,1106,2294,3400,1970,797,352,1297,1962,8325
1994-95,13,Denver Nuggets,82,19980,3098,6461,0.479,413,1160,0.356,2685,5301,0.507,1700,2305,0.738,1040,2402,3442,1836,660,585,1381,2063,8309
1994-95,14,Miami Heat,82,19805,3144,6738,0.467,436,1182,0.369,2708,5556,0.487,1569,2133,0.736,1092,2272,3364,1779,662,298,1291,2000,8293
1994-95,15,Charlotte Hornets,82,19805,3051,6438,0.474,560,1409,0.397,2491,5029,0.495,1587,2042,0.777,832,2395,3227,2072,620,399,1224,1685,8249
1994-95,16,Washington Bullets,82,19855,3176,6899,0.46,433,1264,0.343,2743,5635,0.487,1457,2013,0.724,1044,2219,3263,1749,648,404,1301,1949,8242
1994-95,17,Milwaukee Bucks,82,19855,3022,6586,0.459,494,1349,0.366,2528,5237,0.483,1608,2259,0.712,1063,2187,3250,1737,674,359,1393,1858,8146
1994-95,18,Indiana Pacers,82,19780,2983,6248,0.477,374,985,0.38,2609,5263,0.496,1796,2390,0.751,1051,2290,3341,1877,703,363,1340,1939,8136
1994-95,19,Sacramento Kings,82,19855,3025,6463,0.468,359,1037,0.346,2666,5426,0.491,1647,2317,0.711,1073,2325,3398,1824,650,457,1449,2040,8056
1994-95,20,New York Knicks,82,19780,2985,6394,0.467,532,1446,0.368,2453,4948,0.496,1552,2114,0.734,929,2473,3402,2055,591,387,1305,2102,8054
1994-95,21,Detroit Pistons,82,19730,3060,6633,0.461,494,1396,0.354,2566,5237,0.49,1439,1941,0.741,958,2204,3162,1872,705,420,1318,2151,8053
1994-95,22,New Jersey Nets,82,19880,2939,6738,0.436,414,1297,0.319,2525,5441,0.464,1750,2305,0.759,1213,2569,3782,1884,544,548,1300,1844,8042
1994-95,23,Los Angeles Clippers,82,19880,3060,6888,0.444,331,1051,0.315,2729,5837,0.468,1476,2079,0.71,1064,2076,3140,1805,787,435,1334,2152,7927
1994-95,24,Atlanta Hawks,82,19855,2986,6680,0.447,539,1580,0.341,2447,5100,0.48,1410,1948,0.724,1104,2272,3376,1757,738,412,1221,1804,7921
1994-95,25,Philadelphia 76ers,82,19805,2949,6577,0.448,355,936,0.379,2594,5641,0.46,1567,2125,0.737,1105,2230,3335,1566,643,576,1355,1835,7820
1994-95,26,Minnesota Timberwolves,82,19780,2792,6219,0.449,318,1016,0.313,2474,5203,0.475,1824,2355,0.775,883,2090,2973,1780,609,402,1400,2074,7726
1994-95,27,Cleveland Cavaliers,82,19930,2756,6255,0.441,398,1033,0.385,2358,5222,0.452,1507,1982,0.76,1045,2237,3282,1672,630,349,1176,1694,7417
1989-90,1,Golden State Warriors,82,19705,3489,7208,0.484,243,750,0.324,3246,6458,0.503,2313,2858,0.809,915,2385,3300,1978,756,488,1415,2010,9534
1989-90,2,Phoenix Suns,82,19855,3544,7139,0.496,176,543,0.324,3368,6596,0.511,2159,2716,0.795,1053,2651,3704,2109,668,501,1275,1825,9423
1989-90,3,Denver Nuggets,82,19805,3716,8015,0.464,228,677,0.337,3488,7338,0.475,1737,2201,0.789,1169,2532,3701,2275,814,329,1136,2047,9397
1989-90,4,Portland Trail Blazers,82,19880,3572,7547,0.473,190,565,0.336,3382,6982,0.484,2031,2734,0.743,1355,2552,3907,2085,749,364,1356,2048,9365
1989-90,5,Orlando Magic,82,19805,3457,7525,0.459,116,393,0.295,3341,7132,0.468,2060,2725,0.756,1304,2465,3769,1993,617,294,1407,1975,9090
1989-90,6,Los Angeles Lakers,82,19855,3434,7010,0.49,309,841,0.367,3125,6169,0.507,1902,2417,0.787,1097,2460,3557,2232,655,445,1226,1737,9079
1989-90,7,Philadelphia 76ers,82,19805,3437,7028,0.489,189,543,0.348,3248,6485,0.501,1976,2509,0.788,1111,2406,3517,1932,687,365,1209,1697,9039
1989-90,8,Boston Celtics,82,19705,3563,7148,0.498,106,404,0.262,3457,6744,0.513,1791,2153,0.832,1066,2707,3773,2423,539,455,1256,1717,9023
1989-90,9,Chicago Bulls,82,19830,3531,7090,0.498,250,669,0.374,3281,6421,0.511,1665,2140,0.778,1075,2279,3354,2172,814,388,1247,1906,8977
1989-90,10,Indiana Pacers,82,19880,3381,6807,0.497,294,770,0.382,3087,6037,0.511,1906,2335,0.816,940,2388,3328,2023,552,350,1342,1972,8962
1989-90,11,Atlanta Hawks,82,19730,3417,7019,0.487,124,411,0.302,3293,6608,0.498,1943,2544,0.764,1273,2187,3460,1820,717,353,1270,1871,8901
1989-90,12,New York Knicks,82,19830,3434,7089,0.484,236,710,0.332,3198,6379,0.501,1775,2349,0.756,1187,2426,3613,2140,714,492,1412,1828,8879
1989-90,13,Washington Bullets,82,19830,3598,7581,0.475,37,197,0.188,3561,7384,0.482,1599,2093,0.764,1198,2450,3648,2214,561,424,1201,1929,8832
1989-90,14,Seattle SuperSonics,82,19905,3466,7243,0.479,231,650,0.355,3235,6593,0.491,1606,2167,0.741,1323,2255,3578,1874,701,335,1336,2064,8769
1989-90,15,Utah Jazz,82,19830,3330,6593,0.505,226,630,0.359,3104,5963,0.521,1874,2484,0.754,953,2501,3454,2212,677,491,1410,2031,8760
1989-90,16,Houston Rockets,82,19805,3483,7250,0.48,153,491,0.312,3330,6759,0.493,1633,2267,0.72,1217,2638,3855,2194,809,551,1513,1934,8752
1989-90,17,San Antonio Spurs,82,19730,3388,6997,0.484,54,226,0.239,3334,6771,0.492,1888,2535,0.745,1163,2474,3637,2037,799,554,1399,1854,8718
1989-90,18,Milwaukee Bucks,82,19830,3380,7146,0.473,209,670,0.312,3171,6476,0.49,1722,2273,0.758,1108,2246,3354,2046,826,326,1315,2086,8691
1989-90,19,Detroit Pistons,82,19805,3333,6980,0.478,177,541,0.327,3156,6439,0.49,1713,2252,0.761,1185,2458,3643,1996,512,418,1233,1961,8556
1989-90,20,Los Angeles Clippers,82,19805,3319,6853,0.484,56,230,0.243,3263,6623,0.493,1815,2458,0.738,1056,2362,3418,1978,782,507,1547,1859,8509
1989-90,21,Cleveland Cavaliers,82,19880,3214,6977,0.461,346,851,0.407,2868,6126,0.468,1637,2201,0.744,1128,2380,3508,2106,645,512,1243,1666,8411
1989-90,22,Dallas Mavericks,82,19855,3246,6831,0.475,157,486,0.323,3089,6345,0.487,1735,2261,0.767,1042,2419,3461,1776,664,398,1228,1733,8384
1989-90,23,Sacramento Kings,82,19755,3305,7056,0.468,216,649,0.333,3089,6407,0.482,1515,1964,0.771,952,2363,3315,2052,546,392,1239,1863,8341
1989-90,24,Miami Heat,82,19730,3383,7345,0.461,88,300,0.293,3295,7045,0.468,1393,2028,0.687,1242,2313,3555,1957,736,388,1557,2123,8247
1989-90,25,Charlotte Hornets,82,19755,3270,7183,0.455,205,611,0.336,3065,6572,0.466,1487,1967,0.756,962,2211,3173,2080,778,262,1226,1889,8232
1989-90,26,New Jersey Nets,82,19705,3157,7415,0.426,140,506,0.277,3017,6909,0.437,1754,2350,0.746,1363,2324,3687,1475,774,481,1360,1952,8208
1989-90,27,Minnesota Timberwolves,82,19855,3067,6876,0.446,73,294,0.248,2994,6582,0.455,1596,2137,0.747,1196,2053,3249,1844,789,344,1197,1901,7803
